id,user_id,game_id,income,played_at,bet,extra_data
1,1,1,15.00,2025-09-16 16:07:40.219316+00,20.00,{}
2,1,2,0.00,2025-09-16 16:09:56.686322+00,50.00,"{""coefficient"": 3.56}"
3,1,2,0.00,2025-09-16 16:09:57.642165+00,50.00,"{""coefficient"": 3.56}"
4,1,2,0.00,2025-09-16 16:09:59.090047+00,50.00,"{""coefficient"": 3.56}"
5,1,2,21.30,2025-09-16 16:10:03.657766+00,10.00,"{""coefficient"": 2.13}"
6,1,2,0.00,2025-09-16 16:10:04.986607+00,10.00,"{""coefficient"": 2.13}"
7,1,2,21.30,2025-09-16 16:10:05.978956+00,10.00,"{""coefficient"": 2.13}"
8,1,2,0.00,2025-09-16 16:10:09.163785+00,10.00,"{""coefficient"": 3.31}"
9,1,2,29.10,2025-09-16 16:10:11.625878+00,10.00,"{""coefficient"": 2.91}"
10,1,3,0.00,2025-09-16 16:10:45.313677+00,15.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
11,1,3,64.50,2025-09-16 16:10:52.898629+00,15.00,"{""coefficient"": 4.3, ""bombs_count"": 10}"
12,1,3,0.00,2025-09-16 16:10:59.462716+00,15.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
13,1,3,0.00,2025-09-16 16:11:01.785165+00,15.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
14,1,3,0.00,2025-09-16 16:11:03.956521+00,15.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
15,1,3,0.00,2025-09-16 16:11:10.191917+00,15.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
16,1,3,0.00,2025-09-16 16:11:13.123336+00,15.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
17,1,3,0.00,2025-09-16 16:11:21.106722+00,5.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
18,2,2,0.00,2025-09-17 21:42:27.395104+00,59.00,"{""coefficient"": 2.91}"
19,2,2,171.69,2025-09-17 21:42:28.195036+00,59.00,"{""coefficient"": 2.91}"
20,2,2,171.69,2025-09-17 21:42:29.201764+00,59.00,"{""coefficient"": 2.91}"
21,2,2,0.00,2025-09-17 21:42:30.002888+00,59.00,"{""coefficient"": 2.91}"
22,2,2,171.69,2025-09-17 21:42:31.800116+00,59.00,"{""coefficient"": 2.91}"
23,3,2,686.00,2025-09-17 21:43:32.18031+00,100.00,"{""coefficient"": 6.86}"
24,3,2,133.00,2025-09-17 21:43:34.735476+00,100.00,"{""coefficient"": 1.33}"
25,3,2,0.00,2025-09-17 21:43:36.321151+00,100.00,"{""coefficient"": 1.33}"
26,3,3,0.00,2025-09-17 21:43:46.103796+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
27,3,3,0.00,2025-09-17 21:43:47.968156+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
28,3,3,0.00,2025-09-17 21:43:51.005137+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
29,3,3,0.00,2025-09-17 21:43:53.276586+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
30,3,3,0.00,2025-09-17 21:43:55.845031+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
31,3,3,0.00,2025-09-17 21:43:57.860272+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
32,3,3,0.00,2025-09-17 21:44:00.496054+00,100.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
33,4,1,15.00,2025-09-17 21:44:38.571826+00,20.00,{}
34,4,2,0.00,2025-09-17 21:45:09.108561+00,50.00,"{""coefficient"": 1.5}"
35,4,2,45.00,2025-09-17 21:45:13.274319+00,30.00,"{""coefficient"": 1.5}"
36,4,3,0.00,2025-09-17 21:45:18.352577+00,50.00,"{""coefficient"": -1.0, ""bombs_count"": 10}"
37,5,2,96.00,2025-09-17 21:45:41.745558+00,50.00,"{""coefficient"": 1.92}"
38,5,2,96.00,2025-09-17 21:45:42.389917+00,50.00,"{""coefficient"": 1.92}"
39,6,1,100.00,2025-09-17 21:49:43.647967+00,20.00,{}
40,7,2,9.60,2025-09-17 21:50:17.320781+00,5.00,"{""coefficient"": 1.92}"
41,7,2,0.00,2025-09-17 21:50:17.90867+00,5.00,"{""coefficient"": 1.92}"
42,7,2,9.60,2025-09-17 21:50:18.568803+00,5.00,"{""coefficient"": 1.92}"
43,7,2,0.00,2025-09-17 21:50:19.345717+00,5.00,"{""coefficient"": 1.92}"
44,7,2,0.00,2025-09-17 21:50:20.135226+00,5.00,"{""coefficient"": 1.92}"
45,7,2,0.00,2025-09-17 21:50:21.640015+00,5.00,"{""coefficient"": 1.92}"
46,7,2,9.60,2025-09-17 21:50:22.486361+00,5.00,"{""coefficient"": 1.92}"
47,8,2,0.00,2025-09-17 21:50:56.988993+00,15.00,"{""coefficient"": 2.59}"
48,8,2,38.85,2025-09-17 21:50:57.697275+00,15.00,"{""coefficient"": 2.59}"
49,8,2,0.00,2025-09-17 21:50:59.201268+00,15.00,"{""coefficient"": 2.59}"
50,1,3,0.00,2025-09-17 21:54:32.164846+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
51,1,3,840.00,2025-09-17 21:54:37.327826+00,200.00,"{""coefficient"": 4.2, ""bombs_count"": 20}"
52,1,3,0.00,2025-09-17 21:54:41.269308+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
53,1,3,0.00,2025-09-17 21:54:43.882943+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
54,1,3,0.00,2025-09-17 21:54:46.228774+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
55,1,3,0.00,2025-09-17 21:54:48.726841+00,200.00,"{""coefficient"": -1.0, ""bombs_count"": 20}"
